"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameFIFAAPIComparatorJaccard record1Value","[0] PlayerNameFIFAAPIComparatorJaccard record2Value","[0] PlayerNameFIFAAPIComparatorJaccard record1PreprocessedValue","[0] PlayerNameFIFAAPIComparatorJaccard record2PreprocessedValue","[0] PlayerNameFIFAAPIComparatorJaccard similarity","[0] PlayerNameFIFAAPIComparatorJaccard postproccesedSimilarity","[1] HeightFIFAAPIPercentageSimilarity record1Value","[1] HeightFIFAAPIPercentageSimilarity record2Value","[1] HeightFIFAAPIPercentageSimilarity record1PreprocessedValue","[1] HeightFIFAAPIPercentageSimilarity record2PreprocessedValue","[1] HeightFIFAAPIPercentageSimilarity similarity","[1] HeightFIFAAPIPercentageSimilarity postproccesedSimilarity","[2] DateFIFAESDComparator2Year record1Value","[2] DateFIFAESDComparator2Year record2Value","[2] DateFIFAESDComparator2Year record1PreprocessedValue","[2] DateFIFAESDComparator2Year record2PreprocessedValue","[2] DateFIFAESDComparator2Year similarity","[2] DateFIFAESDComparator2Year postproccesedSimilarity"
"LinearCombinationMatchingRule","429","3002864","0.3499757226491939",,"M. Acuña","Miguel Angel Garrido Cifuentes","m acuna","miguel angel garrido cifuentes","0.0","0.0","172.72000122070312","173.0","172.72000122070312","173.0","0.9999190754973131","0.9999190754973131","1993-01-01T00:00","1990-10-05T00:00","1993-01-01T00:00","1990-10-05T00:00","0.25","0.25"
"LinearCombinationMatchingRule","11140","3000703","0.34992806953296324",,"Cidinho","Cedric Ricardo Alves Soares","cidinho","cedric ricardo alves soares","0.0","0.0","170.17999267578125","171.0","170.17999267578125","171.0","0.9997602317765443","0.9997602317765443","1994-01-01T00:00","1991-08-31T00:00","1994-01-01T00:00","1991-08-31T00:00","0.25","0.25"
"LinearCombinationMatchingRule","7446","3006565","0.29936557332023245",,"M. Delgado","Matthew Briggs","m delgado","matthew briggs","0.0","0.0","175.25999450683594","183.0","175.25999450683594","183.0","0.9978852444007749","0.9978852444007749","1996-01-01T00:00","1991-03-06T00:00","1996-01-01T00:00","1991-03-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","1464","3008058","0.2999777478162457",,"Alex Berenguer","Andres Felipe Roa Estrada","alex berenguer","andres felipe roa estrada","0.0","0.0","175.25999450683594","175.0","175.25999450683594","175.0","0.9999258260541524","0.9999258260541524","1997-01-01T00:00","1993-05-25T00:00","1997-01-01T00:00","1993-05-25T00:00","0.0","0.0"
"LinearCombinationMatchingRule","3152","3003882","0.2996041705785781",,"D. Vukovic","David Querol Blanco","d vukovic","david querol blanco","0.0","0.0","187.9600067138672","183.0","187.9600067138672","183.0","0.9986805685952603","0.9986805685952603","1986-01-01T00:00","1989-02-25T00:00","1986-01-01T00:00","1989-02-25T00:00","0.0","0.0"
"LinearCombinationMatchingRule","5103","3004190","0.2992874995521877",,"L. Venuti","Luka Adzic","l venuti","luka adzic","0.0","0.0","175.25999450683594","184.0","175.25999450683594","184.0","0.9976249985072924","0.9976249985072924","1996-01-01T00:00","1998-09-17T00:00","1996-01-01T00:00","1998-09-17T00:00","0.0","0.0"
"LinearCombinationMatchingRule","5031","3000760","0.285",,"M. Coutadeur","Mark Sale","m coutadeur","mark sale","0.0","0.0","170.17999267578125","0.0","170.17999267578125","0.0","0.95","0.95","1987-01-01T00:00","1972-02-27T00:00","1987-01-01T00:00","1972-02-27T00:00","0.0","0.0"
"LinearCombinationMatchingRule","2225","3007574","0.299416216463656",,"Seoane","Stijn van Gassel","seoane","stijn van gassel","0.0","0.0","177.8000030517578","185.0","177.8000030517578","185.0","0.9980540548788535","0.9980540548788535","1984-01-01T00:00","1996-10-18T00:00","1984-01-01T00:00","1996-10-18T00:00","0.0","0.0"
"LinearCombinationMatchingRule","12445","3004594","0.299852541907359",,"Jeong Dong Ho","Julian Korb","jeong dong ho","julian korb","0.0","0.0","175.25999450683594","177.0","175.25999450683594","177.0","0.9995084730245299","0.9995084730245299","1991-01-01T00:00","1992-03-21T00:00","1991-01-01T00:00","1992-03-21T00:00","0.0","0.0"
"LinearCombinationMatchingRule","13972","3003648","0.285",,"J. Robinson","Javier Lezaun Espeleta","j robinson","javier lezaun espeleta","0.0","0.0","175.25999450683594","0.0","175.25999450683594","0.0","0.95","0.95","1995-01-01T00:00","1979-08-06T00:00","1995-01-01T00:00","1979-08-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","6242","3006249","0.2988313307752886",,"M. Diallo","Mads Thychosen","m diallo","mads thychosen","0.0","0.0","193.0399932861328","178.0","193.0399932861328","178.0","0.9961044359176288","0.9961044359176288","1987-01-01T00:00","1997-06-27T00:00","1987-01-01T00:00","1997-06-27T00:00","0.0","0.0"
"LinearCombinationMatchingRule","15819","3002228","0.29931381225585935",,"I. Oda","Ibrahima Savane","i oda","ibrahima savane","0.0","0.0","172.72000122070312","181.0","172.72000122070312","181.0","0.9977127075195312","0.9977127075195312","2000-01-01T00:00","1993-09-10T00:00","2000-01-01T00:00","1993-09-10T00:00","0.0","0.0"
"LinearCombinationMatchingRule","14749","3005216","0.2996865917184499",,"Y. Ota","Yao Kouassi Gervinho","y ota","yao kouassi gervinho","0.0","0.0","175.25999450683594","179.0","175.25999450683594","179.0","0.9989553057281665","0.9989553057281665","1984-01-01T00:00","1987-05-27T00:00","1984-01-01T00:00","1987-05-27T00:00","0.0","0.0"
